id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNMNUpHUUxREAE,,a month ago,2024-08-11 17:55:44.969429,5.0,Rajat Pal,0,https://www.google.com/maps/contrib/101305472723067500426/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR6NzVHTmhRRRAB,Food quality not good... service is not  good at all...,a month ago,2024-08-11 17:55:44.969429,1.0,SHRADDHA SHINDE,0,https://www.google.com/maps/contrib/112064556875198601439/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMcUtTSHdBRRAB,Food just wow. Absolute delicacy. Unparallel taste. Atmosphere romantic. Interior so soothing. In one word. Extraordinary.,a month ago,2024-08-11 17:55:44.969429,5.0,Sunil Bothra,0,https://www.google.com/maps/contrib/113041748510963109016/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMeU1lQ1FnEAE,This is the best restaurant,a month ago,2024-08-11 17:55:44.970438,5.0,Vinni Craz37,0,https://www.google.com/maps/contrib/117208456317249049278/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMeUpqZWlBRRAB,"We had a great experience dinning at BBQ NATION in Worli , Atria Mall . Their service is top notch as they make sure to serve their customers with proper hygiene and on timely basis. Their starters are so delicious,our favourites are the prawns and chicken barbeque and the fried chicken and chicken tandoori 🍗. Maincourse was good but sweet got our hearts and stomach full with joy 😊",a month ago,2024-08-11 17:55:44.970438,5.0,Foodies on Scooties,3,https://www.google.com/maps/contrib/106055213436918295639/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMOExYY3NnRRAB,"Worst place, all review are fake",a month ago,2024-08-11 17:55:49.679959,1.0,Pankaj Seth,27,https://www.google.com/maps/contrib/117588942772471173940/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMc011UTl3RRAB,Very nice,a month ago,2024-08-11 17:55:49.680959,5.0,sunil kumar,0,https://www.google.com/maps/contrib/107892009926070165632/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURleW9TRmR3EAE,,a month ago,2024-08-11 17:55:49.680959,3.0,sonu k gupta,148,https://www.google.com/maps/contrib/106815263517357901035/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR6NzVQanJRRRAB,,a month ago,2024-08-11 17:55:49.681958,5.0,souvik ghosh,0,https://www.google.com/maps/contrib/115901270564625916125/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR6ci11RFZREAE,This is great,a month ago,2024-08-11 17:55:49.682960,5.0,खटिक समाज एकता,0,https://www.google.com/maps/contrib/101804481278648644598/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR6cjdUMGZ3EAE,It was an amazing experience of food over here. I have visited here 2nd time and referred my other siblings to visit and have food here atleast once.,a month ago,2024-08-11 17:55:49.682960,5.0,Shubham Sethi,0,https://www.google.com/maps/contrib/103265614021394844757/reviews?hl=en
